,min_hue,max_hue,mean_hue,std_hue,min_value,max_value,mean_value,std_value,n_contours,contour_area,centroid_x,centroid_y,perimeter,max_diameter,min_diameter,horizontal_asymmetry,vertical_asymmetry
IM_000883,-200.48665535447805,-21.486655354478046,-190.91395280767372,25.742698970679115,-1.0,251.0,100.9604862225301,41.95206909400895,1130,9533059.5,3926,2164,660465,5327.73388671875,3383.779052734375,1.65,1.7
IM_000761,-204.77692432129507,-182.77692432129507,-193.78543798993164,1.5892725969291228,110.0,225.0,178.2076761192126,14.824030970874432,977,64641.0,547,393,82897,396.9693908691406,354.2235107421875,1.73,1.82
IM_000319,-145.5416245739184,33.4583754260816,-136.42042323401327,3.7578139114844604,6.0,225.0,138.64692123162382,8.293833844531875,579,1432111.0,2225,1753,188615,1743.5478515625,1415.0577392578125,1.38,1.38
IM_000371,-134.88900719563532,44.110992804364685,-125.57676257667518,11.097005102269645,25.0,133.0,94.4538149560251,32.186741940694326,83,79316.5,1888,1304,4673,300.0,288.0,0.91,0.88
IM_000527,-164.3785937504736,14.621406249526387,-99.56901126623112,77.22614941073361,17.0,207.0,90.6396537288912,25.945217738744997,791,103761.5,403,426,93655,417.4365234375,383.34332275390625,1.26,1.25
IM_000210,-198.09661950787702,-189.09661950787702,-192.66606340824146,1.4441452930844336,131.0,206.0,173.97617395392047,12.44323171377284,1894,353590.0,1717,1386,331573,729.444580078125,669.072998046875,1.2,1.07
IM_000235,-158.63314199968625,-147.63314199968625,-151.85328872732816,1.1858705110150167,118.0,184.0,150.67370922505145,4.440908641570841,216,295366.0,2185,1704,25194,769.9998779296875,687.9998779296875,1.63,1.62
IM_000101,-213.68241576037636,-34.68241576037636,-188.45887381280517,54.227299588539594,38.0,231.0,143.0600037369774,47.00536136687583,1112,135428.5,544,369,157963,537.102294921875,493.70001220703125,1.58,1.63
IM_000986,-146.27356870995177,32.726431290048225,-139.72930990520862,6.247400637208645,10.0,145.0,97.8702782624124,20.545029536545474,96,127246.5,2163,1374,12581,502.0,400.0,1.33,1.34
IM_000902,-188.02475131105518,-9.024751311055184,-175.7378207785466,2.8889749566580964,33.0,184.0,134.31259428269723,24.064140242441827,938,88533.5,504,409,96476,409.31805419921875,353.4917907714844,1.34,1.27
IM_000947,-174.2337581002969,4.76624189970309,-16.94977189522091,48.935465587704,-133.0,38.0,-28.575129006673464,29.004635236878553,15385,4149611.0,2433,1480,6465920,2718.2314453125,2510.75390625,1.19,1.18
IM_000346,-173.8492125896639,5.1507874103361075,-163.70297758990736,2.1563456605917404,-95.0,27.0,-26.0869075494897,17.892407187747988,1757,282336.5,773,652,286447,772.98291015625,611.4766845703125,1.39,1.33
IM_000139,-198.75547923127127,-179.75547923127127,-186.31508524769484,1.6557361343418537,98.0,202.0,156.51628036374146,12.602247956693764,3761,1709063.0,1313,901,1194286,1513.592529296875,1184.1761474609375,0.87,0.87
IM_000621,-181.38250120644355,-2.38250120644355,-166.88555311126623,32.459688850126334,11.0,204.0,106.87163673356422,42.22344340009504,1863,306678.0,1086,686,554310,1188.7886962890625,621.0371704101562,1.86,1.87
IM_000499,-153.53538738203773,-137.53538738203773,-143.88628057959303,1.4294753973917054,64.0,182.0,144.60187854392294,6.073396817921676,3454,1204342.5,3316,1526,1871353,2508.342529296875,1344.0908203125,2.29,2.4
IM_000370,-174.68035147316306,4.319648526836943,-160.71193854632014,38.89388764170538,135.0,208.0,173.17036341027216,3.483057865030203,1271,406541.5,1590,938,223527,631.2210693359375,584.6094970703125,0.74,0.75
IM_000198,-237.4304926971869,-58.43049269718691,-195.83636425828038,70.00097919433229,-84.0,110.0,62.60611909471146,19.65521945586498,1279,326422.5,510,284,202558,634.2303466796875,522.9528198242188,0.86,0.83
IM_000901,-139.77344237216192,39.226557627838076,-131.7520229453163,5.003683519326444,-119.0,-22.0,-49.82889899222007,17.991152786746987,97,124931.0,2301,1668,10450,402.0,378.0,1.06,1.07
IM_000059,-237.75189617510136,-58.751896175101365,-135.27613708642687,84.09987476839005,-135.0,78.0,-37.3424407459211,61.76601977415383,1283,384079.0,578,398,177793,647.5736083984375,526.9771118164062,0.71,0.77
IM_000328,-192.2448965873754,-182.2448965873754,-186.58819787954513,1.0397529044794966,68.0,192.0,175.60234484710594,7.272448422449925,903,115550.5,544,332,89361,449.51287841796875,303.11590576171875,0.96,0.91
IM_000096,-239.97823525578593,-60.97823525578593,-97.48994999820735,19.2689815773024,-86.0,145.0,30.54682785365151,46.98924806620421,1917,408032.0,788,674,423115,922.8714599609375,814.2857666015625,1.44,1.5
IM_000312,-154.7926241463016,24.20737585369841,-146.00397501637954,2.435503667357294,68.0,216.0,142.2772623659222,18.57813369106755,408,1249599.5,2217,1743,47380,1596.18017578125,958.193603515625,0.93,0.93
IM_000974,-212.18183288717054,-33.18183288717054,-205.30190240273393,5.5632517813576365,142.0,231.0,197.53741116593739,13.12939413348891,477,27694.5,523,421,29045,217.24844360351562,203.14468383789062,1.37,1.27
IM_000277,-164.61333194836325,14.386668051636747,-153.71884341496332,1.7357859568228151,-84.0,37.0,-9.14725363994251,10.456689208937316,237,577486.0,2105,1237,42111,1038.0,689.0,1.01,1.01
IM_000924,-173.63196423556704,-159.63196423556704,-165.665355366386,1.629148124857755,56.0,168.0,123.80456890867416,26.564413051915544,186,244752.5,2223,1461,31770,703.7661743164062,532.3233642578125,1.25,1.24
IM_000601,-153.64687658495635,-143.64687658495635,-147.54957067280893,1.3401926072605803,126.0,159.0,147.28807527726835,3.428282172104349,151,71276.0,1523,954,7922,257.0,249.0,0.7,0.8
IM_000439,-173.12956534205915,-161.12956534205915,-165.6253176844514,0.9653312750178668,61.0,217.0,146.68414339203497,9.672613822802731,1651,563385.5,675,549,539099,1032.071044921875,682.49365234375,1.03,1.04
IM_000837,-214.8735815820888,-201.8735815820888,-205.94694169578236,1.1653550630900809,127.0,218.0,192.15299800379526,11.218241599548342,2078,566310.5,1579,898,467397,956.8706665039062,803.2196655273438,1.11,1.13
IM_000570,-182.20705093312938,-3.2070509331293806,-169.8466226978352,14.333016338843533,-23.0,61.0,30.305858823529412,10.91242609694314,1474,191321.0,487,416,202694,694.8370361328125,404.3751525878906,1.15,1.19
IM_000879,-161.5725983221823,17.4274016778177,-153.52317261791438,15.726084451295485,42.0,174.0,121.96785152944021,21.73027673687148,811,97952.5,264,373,77090,346.2262878417969,312.6770935058594,0.9,0.89
IM_000261,-217.5960857209298,-205.5960857209298,-210.13473617587786,1.5946655422412679,64.0,193.0,139.15454545454546,24.722823038166474,976,165201.0,474,375,112518,436.1195068359375,405.0632019042969,0.85,0.79
IM_000578,-162.9745686042473,16.02543139575269,-146.67243926759602,34.013443927141566,-126.0,25.0,-15.188845878230026,21.275709699001467,4348,1872024.0,1864,1019,2015788,2376.270751953125,1590.2847900390625,1.71,1.72
IM_000023,-163.3481385410462,15.651861458953789,-147.9024687114535,2.969628356261051,34.0,161.0,113.56003889910646,22.64708894702727,5330,824321.0,1565,1104,1381377,1358.916748046875,1250.963134765625,1.6,1.63
IM_000617,-209.54352212809016,-30.54352212809016,-191.87897385953255,38.701697389990414,-3.0,221.0,99.10752493528592,39.219037143018134,582,2556144.5,4211,2691,181992,2284.0,1552.0,1.12,1.12
IM_000010,-137.8443601540608,-123.84436015406081,-129.2540614448291,1.6860217290402952,65.0,145.0,111.09068423740524,13.050674548885526,178,114228.0,2085,1442,17517,400.4935607910156,351.402587890625,0.95,0.91
IM_000820,-174.65825168758067,4.341748312419327,-161.94554521338287,5.332757082391955,11.0,204.0,143.54266465866672,24.914809313348712,646,40059.0,630,473,59996,395.07025146484375,374.7444152832031,3.48,3.33
IM_000296,-216.29860271670816,-37.29860271670816,-203.87492136545117,1.8342502806563405,55.0,242.0,175.48827471965436,10.214919270801687,2188,758814.5,1592,1080,735612,1008.3276977539062,970.0750732421875,1.12,1.12
IM_000054,-151.19952850198567,27.800471498014332,-104.25980937983903,72.26826233995634,29.0,136.0,69.40016289154505,31.226591774840198,1020,80529.0,2182,1593,107718,386.60748291015625,326.6382751464844,1.19,1.17
IM_000542,-170.9904978656186,-145.9904978656186,-160.2879330898417,1.8284275639658216,71.0,233.0,156.44070803082653,11.941482029014342,3151,1838492.0,2331,1543,1162630,1678.109619140625,1266.987548828125,0.99,0.95
IM_000209,-173.82884350636826,5.171156493631742,-166.0487007242549,6.167068347240218,43.0,245.0,162.14236537892745,9.476193769348496,3865,1939388.0,1412,1092,1987226,1856.173583984375,1746.2098388671875,1.41,1.4
IM_000604,-182.59483483600945,-3.594834836009454,-173.42362113706224,5.351703559850261,104.0,219.0,175.41071965752633,12.479706339716097,971,192742.5,505,331,117255,545.3881225585938,423.17620849609375,1.0,1.02
IM_000692,-240.5538841848866,-61.55388418488661,-172.9840409811574,82.26524817246727,19.0,219.0,86.56938411554896,50.19255359724787,940,80210.5,362,281,110848,406.6764831542969,367.78924560546875,1.55,1.55
IM_000662,-141.16594465196687,-124.16594465196687,-131.02464676503345,1.5334187181643513,71.0,169.0,134.60803303949717,6.2325326711174585,3546,1950229.5,1819,1341,1161868,2191.058349609375,1109.0772705078125,0.87,0.99
IM_000866,-233.31387830309126,-54.31387830309126,-215.99231681903248,43.056069848495476,-65.0,117.0,53.60140164261678,33.40485062900008,1414,316142.5,466,370,245867,624.5221557617188,605.6776733398438,1.03,0.99
IM_000543,-210.08142358275117,-196.08142358275117,-201.4795569823453,1.3684128915147389,113.0,242.0,197.0566342879385,5.848616417623693,1920,694230.5,1816,1032,636172,1301.0792236328125,675.2645263671875,1.13,1.13
IM_000493,-204.2947856724882,-192.2947856724882,-196.88331204106493,2.1514962982811876,79.0,190.0,161.2943936711322,15.00192873383984,2203,208802.5,1598,853,227172,550.9755859375,543.5806274414062,1.11,1.13
IM_000590,-203.300102520879,-24.300102520878994,-194.78688545329896,11.271398249112309,83.0,244.0,159.63543968863615,26.429828039031538,1057,151339.0,444,284,159490,573.8712158203125,448.6113586425781,1.36,1.35
IM_000741,-157.88614888845476,-146.88614888845476,-152.17728284420022,1.6978749024596327,70.0,186.0,120.13846349329283,16.985607625392216,1412,187506.0,1372,534,186688,538.7100830078125,430.26849365234375,0.96,0.96
IM_000292,-172.9234891844121,-140.9234891844121,-159.6426625564781,1.7628960589643152,106.0,196.0,160.99668371937582,10.842146025833982,1349,150707.0,575,314,282994,641.9423217773438,633.720458984375,2.46,2.45
IM_000289,-145.05519727539132,33.94480272460868,-136.6666779827248,2.027018243922125,81.0,162.0,128.11208212046216,12.391510425228487,381,683958.0,2418,1423,74576,1019.33837890625,985.4387817382812,1.17,1.19
IM_000652,-213.19215429290983,-180.19215429290983,-204.13347820768712,1.4018378189926517,74.0,247.0,180.80583722608333,29.8444429795252,639,48111.5,341,264,54282,261.9723205566406,259.9519348144531,1.22,1.21
IM_000039,-178.34750016342267,0.6524998365773342,-160.09982882481518,40.972158947717034,-139.0,6.0,-65.31083317253437,34.577891153086455,1157,276130.5,483,404,174648,651.5938110351562,347.8819580078125,0.66,0.66
IM_000589,-227.82214549254738,-48.82214549254738,-221.76161602653187,5.478538036244185,48.0,242.0,159.25793333579975,33.84102546545404,543,3241368.5,3436,1711,145075,2110.45654296875,1845.76904296875,1.05,1.06
IM_000307,-179.7489021458648,-0.748902145864804,-172.39289807398052,6.952149150809713,-131.0,36.0,-20.502670216514623,24.739919048574507,1218,237461.5,1132,833,174616,666.8619995117188,519.9024658203125,1.17,1.2
IM_000679,-151.28935256652335,27.71064743347665,-112.24087855640778,68.83417808633038,31.0,210.0,72.1410654355807,23.208937882409856,1840,190244.5,2219,1534,280209,584.506103515625,573.921875,1.42,1.42
IM_000066,-196.7966563001948,-17.796656300194797,-185.22333176736072,14.555483123861618,-91.0,92.0,38.11160588991652,30.44187030975381,3911,1566901.0,1419,1318,1113864,1459.890625,1204.975341796875,0.88,0.87
IM_000275,-161.66283338327196,17.33716661672804,-155.4420669342774,3.867178015260252,95.0,232.0,155.86955277467024,6.378741689579,160,231528.0,1399,863,15597,539.9998779296875,451.99993896484375,0.84,0.84
IM_000067,-158.81647438253572,-149.81647438253572,-153.72304544539182,0.8741857103383299,123.0,181.0,156.8092152709341,4.2731402471093745,6715,631218.0,2237,1623,907109,1407.88623046875,922.550537109375,1.27,1.33
IM_000318,-170.2743491001561,8.725650899843913,-160.89448364252522,3.483286247522511,-83.0,95.0,0.33721903758769,14.113194252223316,758,4895980.5,2008,1553,292188,2689.751708984375,2196.5888671875,1.09,1.09
IM_000548,-170.50506813239383,8.49493186760617,-163.64889330706936,6.1995695361097845,-119.0,10.0,-39.91628706987942,22.87092626695485,1560,84236.0,660,425,282093,705.9826049804688,636.9337768554688,4.8,4.74
IM_000998,-249.36402172740998,-70.36402172740998,-237.7426222099564,29.405955683158428,66.0,246.0,185.04763906310504,44.41779109573478,1272,292355.5,607,410,229997,730.6735229492188,542.2667846679688,1.11,1.16
IM_000714,-185.853127698493,-6.853127698493012,-175.90749242132134,9.238058775532641,46.0,205.0,141.4454641395342,21.1944251328103,1135,161090.5,502,402,134874,488.9788818359375,427.29840087890625,1.14,1.14
IM_000753,-186.11860283497697,-7.1186028349769686,-177.67271290878645,16.660204996659054,51.0,181.0,143.14478783997842,31.03619159330725,400,46855.5,471,420,24243,257.34033203125,152.8609619140625,0.73,0.7
IM_000327,-171.81436904325003,7.185630956749975,-166.419109651479,16.42446620830905,-92.0,1.0,-22.627087060226597,12.931867341799826,930,55525.5,507,371,70514,344.926025390625,334.27392578125,1.63,1.65
IM_000382,-163.12258989375857,-150.12258989375857,-156.8885273561277,1.4598815519245099,74.0,180.0,131.1828121864087,17.025001390510837,1183,115662.0,426,378,147251,557.3414916992188,314.07012939453125,1.2,1.19
IM_000451,-200.2816212559057,-21.28162125590569,-186.86614376282026,2.5338275718511194,103.0,211.0,180.40847922555545,14.481587149096965,1128,425204.5,549,419,192997,597.5989990234375,531.1513671875,0.64,0.66
IM_000522,-208.84882886480827,-29.84882886480827,-198.03231176201336,2.47440016018236,142.0,244.0,200.37498994202372,5.862203242618416,431,1238372.5,2278,1525,72465,1174.431396484375,1031.6151123046875,0.8,0.79
IM_000218,-194.8537374311152,-175.8537374311152,-186.36374784657642,2.8345724951849385,59.0,186.0,144.87412722292945,24.783997053304734,498,16832.0,580,317,27222,199.0423126220703,187.0566864013672,1.84,1.91
IM_000787,-223.1553530672048,-44.1553530672048,-216.34816740955102,5.167545461267374,58.0,248.0,169.89895559140697,29.709931455039122,2765,1674861.0,1208,706,714428,1717.14990234375,930.9432373046875,0.76,0.77
IM_000436,-155.14151423713614,23.858485762863864,3.3151743095553314,24.74447591301122,-155.0,57.0,-18.781823245096117,48.77035910472089,2339,980171.5,881,464,652989,1146.9307861328125,913.3963623046875,0.89,0.9
IM_000088,-170.86885173955437,8.131148260445627,-166.33908550143204,3.724676102014219,70.0,214.0,156.85213122377183,8.44148878647629,2283,335328.0,479,419,339711,867.1278686523438,525.2582397460938,0.98,1.07
IM_000063,-220.98453392090386,-41.98453392090386,-212.57397402017654,2.1988874256427047,172.0,246.0,212.15238949248288,5.158248991388927,3754,3155626.5,2204,1582,2425624,3198.76953125,1068.8585205078125,0.98,0.98
IM_000826,-148.23680542397238,-138.23680542397238,-141.5252660069697,1.1405847287634907,61.0,159.0,135.92295094335455,9.625105353055266,289,548050.5,2090,1606,32103,960.9903564453125,826.9528198242188,1.24,1.1
IM_000351,-154.0615775368526,24.93842246314739,-101.80612554455841,74.42924222871812,-146.0,6.0,-48.963201331622386,32.3070598334042,1370,290306.0,492,358,215351,782.225830078125,540.9592895507812,1.2,1.2
IM_000936,-175.40568124368372,3.5943187563162837,-161.25705579291747,42.051921100013445,-72.0,45.0,-2.9426622503206814,6.880506222241125,3309,2467715.0,1662,1068,1541582,1798.80322265625,1696.4957275390625,1.05,1.04
IM_000256,-183.13750200714404,-170.13750200714404,-175.38336918577707,1.1729821673972656,84.0,227.0,145.30236856114252,13.58736809396057,2187,269004.5,1405,797,389096,1225.1888427734375,759.7443237304688,2.73,2.9
IM_000635,-149.22488171541576,-137.22488171541576,-141.36460628439093,1.2236595645369053,100.0,181.0,132.6870261177347,5.506625487499473,5028,884169.0,1547,989,1195343,1622.2296142578125,846.427001953125,1.22,1.22
IM_000644,-213.3517708442425,-196.3517708442425,-203.13725766681912,2.0954662646029014,39.0,243.0,166.73934782921944,44.002131571774285,671,72019.0,366,245,60151,356.0445556640625,252.00709533691406,1.08,1.08
IM_000554,-161.26319459290767,17.736805407092334,-151.52754002033174,3.088920318663933,76.0,231.0,155.8139623949619,4.521038980569092,4460,6131166.5,2263,1305,3123189,2401.514892578125,2136.246337890625,0.71,0.71
IM_000959,-150.65171894591464,28.348281054085362,-35.39142650423959,72.20668592425497,10.0,255.0,127.53423261530801,54.149259171793,3299,1737844.5,1635,1015,1358880,1647.21533203125,1598.2530517578125,1.27,1.3
IM_000917,-168.58668962188955,-154.58668962188955,-161.27290911828817,1.77662487931499,83.0,224.0,156.65379642453726,8.836380640067967,692,3587566.0,2139,1532,260967,2678.99951171875,1912.999755859375,1.22,1.22
IM_000528,-166.8779117096475,12.122088290352508,-155.62733452434261,2.199063432248845,37.0,171.0,141.00254749164372,8.394152336141705,2358,584155.5,2293,1473,833150,1439.4400634765625,777.027587890625,1.5,1.52
IM_000823,-235.2274945441746,-224.2274945441746,-227.69948781115173,1.3530496656756477,128.0,247.0,220.4522602229966,8.064075726156194,1268,524995.5,443,308,302384,815.4112548828125,669.747802734375,0.89,0.92
IM_000985,-166.72943279433713,12.270567205662871,-109.01151634588354,80.53209939793818,-133.0,82.0,-0.9713888792532359,9.009947965090445,6406,7407370.0,2434,1404,6180953,3036.306396484375,3031.129150390625,1.06,0.98
IM_000816,-170.15088032208942,8.84911967791058,-156.83066799941963,6.285268180629006,16.0,214.0,152.77141220145083,22.12735685134362,1159,223236.0,558,325,182704,531.2825927734375,506.9820251464844,1.07,1.02
IM_000086,-180.86047083983976,-1.8604708398397634,-170.1337888981552,3.1608099594886725,89.0,236.0,162.37380875136867,6.467662887135186,1603,300530.5,449,327,206464,736.840087890625,419.7630615234375,0.7,0.74
IM_000432,-208.57403084168828,-201.57403084168828,-204.44231418281558,0.8741594356437823,137.0,215.0,190.09956131560782,10.934546010927601,44,36041.5,1161,717,2838,275.0,197.0,1.33,1.32
IM_000184,-190.8792789701451,-179.8792789701451,-184.6562819571135,1.2578799506735243,97.0,199.0,176.48030979884223,10.584271863936802,2035,360400.0,442,411,186393,687.8054809570312,480.02899169921875,0.66,0.74
IM_000534,-171.721479899807,-152.721479899807,-160.92602128442792,2.919216432870811,44.0,191.0,131.8235378389026,24.83756518276349,711,55041.5,504,296,52752,294.872802734375,278.7286682128906,1.31,1.3
IM_000294,-154.87053941557636,24.12946058442364,-142.77371316917595,33.92558310016101,34.0,164.0,115.44967623996837,22.469567044880183,274,386661.5,2192,1830,52044,935.4598999023438,839.1732788085938,1.68,1.63
IM_000892,-219.86905923681644,-205.86905923681644,-210.50028335735925,1.5740864188428472,122.0,244.0,206.6888096340671,8.539646496929667,3474,1155773.0,1619,1011,1375001,1750.2044677734375,1189.4178466796875,1.56,1.53
IM_000425,-204.41680963149804,-25.41680963149804,-195.5014936219167,2.115929634484874,26.0,202.0,128.65954606141523,29.481616421074317,2217,354957.0,1774,1152,341214,914.57666015625,665.8692016601562,1.33,1.31
IM_000713,-200.57984874095263,-21.579848740952627,-190.07516833771794,4.704722879043339,28.0,218.0,131.82320015262854,21.154663389769464,2092,376910.5,571,375,306856,735.7376708984375,660.58203125,1.0,1.01
IM_000260,-160.77088651930805,-151.77088651930805,-155.73071875646372,1.1017474402289453,77.0,159.0,131.58831379277476,15.9188549982211,827,77692.0,2059,1569,55391,283.69061279296875,280.31640625,0.85,0.8
IM_000237,-244.9720051823096,-65.9720051823096,-236.2293663961423,26.086435631886197,29.0,251.0,132.6010757748941,48.26252776516204,1566,249143.0,509,301,227123,603.6644287109375,497.5035095214844,1.04,1.02
IM_000559,-154.5780643452247,24.421935654775297,-147.51785611939582,2.5774758891165126,64.0,244.0,146.92603491459928,4.744277999370939,355,1060254.5,2279,1434,57456,1239.0,1200.0,1.08,1.06
IM_000583,-211.6297350569297,-32.62973505692969,-196.865414617824,34.89956044612359,-1.0,216.0,91.86150068005344,47.03367404455287,1224,777025.0,4258,2028,134110,1342.5810546875,1107.724609375,1.62,1.66
IM_000800,-151.2915398071758,27.70846019282419,-138.75867817250318,27.222074448903548,-144.0,32.0,-46.950209618056405,27.55776991211751,2776,1136754.0,1804,1162,1039092,1615.03759765625,898.0548706054688,1.06,1.07
IM_000599,-179.85231005499602,-0.8523100549960247,-128.4523678893622,74.42398170763526,9.0,248.0,138.4099405007054,42.99437211563516,2996,2217125.0,1222,980,1059551,1469.4261474609375,1285.0323486328125,0.71,0.73
IM_000849,-225.83687536786175,-46.83687536786175,-218.98394389866542,5.062923189480173,42.0,250.0,155.6026671047205,26.189175591965913,709,8577368.5,3679,1938,474355,4359.92626953125,2597.8662109375,0.97,0.96
IM_000265,-192.99188589371926,-13.991885893719257,-180.58922062873873,3.3058658009328976,-15.0,223.0,98.95880356811577,27.025615421929245,1265,214821.0,584,375,217103,698.475830078125,494.8287353515625,1.31,1.31
IM_000995,-234.64593983528707,-205.64593983528707,-224.75557324980096,2.4224580507774314,115.0,235.0,225.33104117918597,11.624585687960401,907,65739.0,538,445,110230,464.2520446777344,350.4427795410156,2.14,2.12
IM_000529,-183.58800472034062,-4.588004720340621,-164.22171925356585,37.16444577914174,33.0,240.0,147.01898116570496,23.98311857581713,1622,514933.5,516,363,344183,907.28173828125,595.0697631835938,0.91,0.92
IM_000055,-246.62423808810723,-67.62423808810723,-224.66762968577663,47.89038183407725,54.0,242.0,159.2700551977921,35.9739220596006,790,63828.0,446,418,83707,356.89190673828125,248.33956909179688,1.12,1.14
IM_000120,-148.49244419805902,30.50755580194098,-138.74405756615084,21.33397680555615,4.0,178.0,89.86715601957658,35.52138386503996,242,481316.0,2223,1377,36012,836.9998779296875,822.9998779296875,1.18,1.15
IM_000215,-160.54252431398925,18.457475686010753,-147.01633259361543,5.42554730896949,51.0,237.0,152.64345352145386,14.15711746371864,691,111786.0,506,454,75593,366.93402099609375,297.9667663574219,0.83,0.84
IM_000025,-219.66541878936704,-40.66541878936704,-209.46319728547164,6.5124552982854,17.0,218.0,164.48657119165742,33.3074348058998,1383,63264.0,663,420,209420,548.54150390625,496.0052185058594,3.84,3.62
IM_000072,-193.49469476039417,-183.49469476039417,-187.47437260543308,0.8552059957095984,119.0,231.0,177.98922519427745,8.366262599046586,2562,439556.0,1946,1173,448793,1061.521728515625,669.8063354492188,1.2,1.21
IM_000721,-168.1867467803422,10.81325321965781,-154.83820606413695,37.43980873444372,-140.0,50.0,-47.63786638335104,30.615556507740113,507,27835.5,453,333,28893,252.85919189453125,168.24339294433594,1.41,1.42
IM_000281,-204.17211555349476,-188.17211555349476,-194.0312978341749,2.3610325864346806,73.0,221.0,168.00450738305,21.227664732664216,471,138223.5,1566,805,39897,715.6738891601562,682.687255859375,2.92,2.88
IM_000893,-213.528988733441,-34.528988733441,-205.4516154552973,2.399341994843789,18.0,243.0,136.41316452164997,30.011744418789096,2406,583572.0,1308,615,444292,956.2916259765625,785.9777221679688,0.97,0.98
IM_000810,-192.22893308592512,-184.22893308592512,-187.52737216288781,1.0948828995081528,124.0,221.0,193.85936062591733,5.403317188939809,1971,649779.5,1542,1840,492312,1034.697265625,824.721923828125,1.11,1.11
IM_000244,-195.36324611017614,-181.36324611017614,-187.18987577725193,1.4662698160123642,106.0,214.0,176.74558765533016,12.023611782024458,391,939232.0,1923,1226,48263,1108.021728515625,834.113525390625,0.81,0.8
IM_000822,-226.27113459803306,-47.27113459803306,-212.90282234632372,4.904716484255644,66.0,249.0,191.30213133122817,41.38271648232556,1087,205664.5,456,400,122977,511.656494140625,442.08636474609375,0.93,0.93
IM_000158,-148.35867784395725,30.641322156042747,-138.1434898533597,4.550726965652271,41.0,156.0,120.47964139466644,20.3994003801493,314,510784.5,2246,1885,41426,1017.9893798828125,567.6333618164062,0.93,0.94
IM_000977,-149.46807564048063,29.531924359519365,-138.5699613902907,11.11578440860177,43.0,214.0,114.69606962768529,26.847788314897016,382,24098.0,427,335,24778,198.61410522460938,183.802734375,1.33,1.31
IM_000429,-181.80728623415155,-171.80728623415155,-175.99017464803143,1.0261848337207586,127.0,216.0,170.459761709605,4.506747615504147,2140,578542.0,1221,816,610759,1130.555908203125,863.5694580078125,1.42,1.4
